times	value	jaw	species
ham_BCR_AOSW	0	1503.70068767913	md	ham
ham_BCR_BOSW	0	1807.87739110002	mx	ham
ham_BCR_COSW	1.46389986334491	1100.36806220294	md	ham
ham_BCR_DOSW	1.46389986334491	1310.08767463396	mx	ham
ham_BCR_EOSW	2.81765488627557	1034.46927656049	md	ham
ham_BCR_FOSW	2.81765488627557	1002.72433807751	mx	ham
ham_BCR_GOSW	5.02848465495537	917.69921051647	md	ham
ham_BCR_HOSW	5.02848465495537	1140.79394387435	mx	ham
ham_BCR_IOSW	5.93317273991783	966.052385213778	md	ham
ham_BCR_KOSW	5.93317273991783	893.793335177218	mx	ham
ham_BCR_LOSW	6.52211285128225	1065.82287357363	md	ham
ham_BCR_MOSW	6.52211285128225	1196.67705177999	mx	ham
ham_BCR_NOSW	7.67984517227558	830.729283546601	md	ham
ham_BCR_POSW	7.67984517227558	918.340361955052	mx	ham
ham_BCR_QOSW	10.1783386647182	391.495435632502	md	ham
ham_BCR_ROSW	10.1783386647182	484.859229192906	mx	ham
ham_BGE_AOSW	-0.894083420156937	1770.22478199507	md	ham
ham_BGE_BOSW	-0.894083420156937	1917.28472631084	mx	ham
ham_BGE_COSW	0.698484058119665	1562.4885488011	md	ham
ham_BGE_DOSW	0.698484058119665	1788.38159622392	mx	ham
ham_BGE_EOSW	3.01729896724116	1082.41817722009	md	ham
ham_BGE_FOSW	3.01729896724116	1130.65223352711	mx	ham
ham_BGE_GOSW	5.12692785593064	1177.21135251786	md	ham
ham_BGE_HOSW	5.12692785593064	1414.22984805517	mx	ham
ham_BGE_IOSW	6.30073677514707	1008.68432459967	md	ham
ham_BGE_KOSW	6.30073677514707	952.21163862275	mx	ham
ham_BGE_NOSW	6.41247493097134	858.232307426181	md	ham
ham_BGE_POSW	6.41247493097134	997.667772553424	mx	ham
ham_BGE_QOSW	9.82166133528177	529.286197507937	md	ham
ham_BGE_ROSW	9.82166133528177	610.808177200148	mx	ham
mus_AXR_MAOSW	-0.00902977873575201	1161.56593613489	md	mus
mus_AXR_MBOSW	-0.00902977873575201	1507.70065581684	mx	mus
mus_AXR_MCOSW	1.24505572757754	1263.56603381225	md	mus
mus_AXR_MDOSW	1.24505572757754	1355.8469901934	mx	mus
mus_AXR_MEOSW	2.18118654585779	1134.35387577229	md	mus
mus_AXR_MFOSW	2.18118654585779	1049.63226514556	mx	mus
mus_AXR_MGOSW	3.89650514691696	713.240733313916	md	mus
mus_AXR_MHOSW	3.89650514691696	1012.79696194696	mx	mus
mus_AXR_MIOSW	5.7976001862437	722.709008062162	md	mus
mus_AXR_MKOSW	5.7976001862437	954.1391364832	mx	mus
mus_AXR_MLOSW	7.03507432038484	850.352923821904	md	mus
mus_AXR_MMOSW	7.03507432038484	920.947924112544	mx	mus
mus_AXR_MNOSW	8.51136827528012	649.568960115863	md	mus
mus_AXR_MPOSW	8.51136827528012	763.717295608573	mx	mus
mus_AXR_MQOSW	10.1025733189432	782.565605246259	md	mus
mus_AXR_MROSW	10.1025733189432	940.368141077753	mx	mus
mus_BGF_MAOSW	0.00902977873574668	2183.03799469413	md	mus
mus_BGF_MBOSW	0.00902977873574668	2619.24832639674	mx	mus
mus_BGF_MCOSW	1.02164634028055	1876.24428649051	md	mus
mus_BGF_MDOSW	1.02164634028055	2320.29133058187	mx	mus
mus_BGF_MEOSW	2.67320167854497	1168.60105482856	md	mus
mus_BGF_MFOSW	2.67320167854497	846.455355937964	mx	mus
mus_BGF_MGOSW	3.92146195736321	959.727751390267	md	mus
mus_BGF_MHOSW	3.92146195736321	1500.41073316248	mx	mus
mus_BGF_MIOSW	5.41226550627314	723.828326182235	md	mus
mus_BGF_MKOSW	5.41226550627314	1135.5808044849	mx	mus
mus_BGF_MLOSW	7.58673153417019	961.162016025463	md	mus
mus_BGF_MMOSW	7.58673153417019	855.23616024111	mx	mus
mus_BGF_MNOSW	9.24322191430956	709.177858015499	md	mus
mus_BGF_MPOSW	9.24322191430956	703.344735192689	mx	mus
mus_BGF_MQOSW	9.89742668105678	641.954990845253	md	mus
mus_BGF_MROSW	9.89742668105678	789.447941936655	mx	mus
